2026-03-02 20:49:05,924 - root - INFO - [Worker-0/PID-23808] - Worker 0 (PID: 23808) logging initialized
2026-03-02 20:49:05,925 - root - INFO - [Worker-0/PID-23808] - Worker 0 starting (PID: 23808)
2026-03-02 20:49:06,756 - root - INFO - [Worker-0/PID-23808] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-02 20:49:06,756 - root - INFO - [Worker-0/PID-23808] - Worker 0 initialized successfully
2026-03-02 20:51:01,852 - root - INFO - [Worker-0/PID-23808] - [556125392] {'request_id': 556125392, 'input_seq_len': 1547, 'output_seq_len': 671, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.238335', 'http_post_time': '2026-03-02 20:50:05.238397', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:01.852639', 'zmq_push_time': '2026-03-02 20:51:01.852639', 'total_time_s': 56.61430382728577, 'http_queue_latency_s': 6.151199340820312e-05}
2026-03-02 20:51:01,859 - root - INFO - [Worker-0/PID-23808] - [556176592] {'request_id': 556176592, 'input_seq_len': 1185, 'output_seq_len': 596, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.552377', 'http_post_time': '2026-03-02 20:50:05.553667', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:01.859141', 'zmq_push_time': '2026-03-02 20:51:01.859141', 'total_time_s': 56.306764364242554, 'http_queue_latency_s': 0.0012900829315185547}
2026-03-02 20:51:03,326 - root - INFO - [Worker-0/PID-23808] - [556116176] {'request_id': 556116176, 'input_seq_len': 3324, 'output_seq_len': 716, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.187769', 'http_post_time': '2026-03-02 20:50:05.187860', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:03.326755', 'zmq_push_time': '2026-03-02 20:51:03.326755', 'total_time_s': 58.138986349105835, 'http_queue_latency_s': 9.131431579589844e-05}
2026-03-02 20:51:03,714 - root - INFO - [Worker-0/PID-23808] - [556083408] {'request_id': 556083408, 'input_seq_len': 3586, 'output_seq_len': 775, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:04.943939', 'http_post_time': '2026-03-02 20:50:04.944157', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:03.714169', 'zmq_push_time': '2026-03-02 20:51:03.714169', 'total_time_s': 58.77022957801819, 'http_queue_latency_s': 0.00021791458129882812}
2026-03-02 20:51:07,799 - root - INFO - [Worker-0/PID-23808] - [556123344] {'request_id': 556123344, 'input_seq_len': 1917, 'output_seq_len': 816, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.229460', 'http_post_time': '2026-03-02 20:50:05.229515', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:07.799116', 'zmq_push_time': '2026-03-02 20:51:07.799116', 'total_time_s': 62.569655418395996, 'http_queue_latency_s': 5.507469177246094e-05}
2026-03-02 20:51:09,849 - root - INFO - [Worker-0/PID-23808] - [556135120] {'request_id': 556135120, 'input_seq_len': 6869, 'output_seq_len': 845, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.291036', 'http_post_time': '2026-03-02 20:50:05.291215', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:09.848965', 'zmq_push_time': '2026-03-02 20:51:09.848965', 'total_time_s': 64.55792880058289, 'http_queue_latency_s': 0.00017881393432617188}
2026-03-02 20:51:09,874 - root - INFO - [Worker-0/PID-23808] - [556185808] {'request_id': 556185808, 'input_seq_len': 3216, 'output_seq_len': 771, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.596359', 'http_post_time': '2026-03-02 20:50:05.596445', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:09.874725', 'zmq_push_time': '2026-03-02 20:51:09.874725', 'total_time_s': 64.27836608886719, 'http_queue_latency_s': 8.630752563476562e-05}
2026-03-02 20:51:10,371 - root - INFO - [Worker-0/PID-23808] - [556183760] {'request_id': 556183760, 'input_seq_len': 1287, 'output_seq_len': 783, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.583993', 'http_post_time': '2026-03-02 20:50:05.584060', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:10.371313', 'zmq_push_time': '2026-03-02 20:51:10.371313', 'total_time_s': 64.7873203754425, 'http_queue_latency_s': 6.699562072753906e-05}
2026-03-02 20:51:10,503 - root - INFO - [Worker-0/PID-23808] - [556092112] {'request_id': 556092112, 'input_seq_len': 5414, 'output_seq_len': 919, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.014075', 'http_post_time': '2026-03-02 20:50:05.014185', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:10.503381', 'zmq_push_time': '2026-03-02 20:51:10.503381', 'total_time_s': 65.4893069267273, 'http_queue_latency_s': 0.000110626220703125}
2026-03-02 20:51:11,117 - root - INFO - [Worker-0/PID-23808] - [556168912] {'request_id': 556168912, 'input_seq_len': 2465, 'output_seq_len': 819, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.493003', 'http_post_time': '2026-03-02 20:50:05.493083', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:11.117625', 'zmq_push_time': '2026-03-02 20:51:11.117625', 'total_time_s': 65.62462162971497, 'http_queue_latency_s': 7.987022399902344e-05}
2026-03-02 20:51:12,889 - root - INFO - [Worker-0/PID-23808] - [556242128] {'request_id': 556242128, 'input_seq_len': 1426, 'output_seq_len': 760, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.932562', 'http_post_time': '2026-03-02 20:50:05.932632', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:12.889482', 'zmq_push_time': '2026-03-02 20:51:12.889482', 'total_time_s': 66.95691990852356, 'http_queue_latency_s': 7.009506225585938e-05}
2026-03-02 20:51:13,137 - root - INFO - [Worker-0/PID-23808] - [556085968] {'request_id': 556085968, 'input_seq_len': 9268, 'output_seq_len': 988, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:04.964764', 'http_post_time': '2026-03-02 20:50:04.965013', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:13.136869', 'zmq_push_time': '2026-03-02 20:51:13.136869', 'total_time_s': 68.17210507392883, 'http_queue_latency_s': 0.0002491474151611328}
2026-03-02 20:51:14,336 - root - INFO - [Worker-0/PID-23808] - [556147408] {'request_id': 556147408, 'input_seq_len': 2828, 'output_seq_len': 924, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.361223', 'http_post_time': '2026-03-02 20:50:05.361314', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:14.335896', 'zmq_push_time': '2026-03-02 20:51:14.335896', 'total_time_s': 68.97467398643494, 'http_queue_latency_s': 9.1552734375e-05}
2026-03-02 20:51:14,543 - root - INFO - [Worker-0/PID-23808] - [556123856] {'request_id': 556123856, 'input_seq_len': 2956, 'output_seq_len': 965, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.231671', 'http_post_time': '2026-03-02 20:50:05.231735', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:14.542980', 'zmq_push_time': '2026-03-02 20:51:14.542980', 'total_time_s': 69.31130981445312, 'http_queue_latency_s': 6.461143493652344e-05}
2026-03-02 20:51:14,869 - root - INFO - [Worker-0/PID-23808] - [556104400] {'request_id': 556104400, 'input_seq_len': 2086, 'output_seq_len': 997, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.117637', 'http_post_time': '2026-03-02 20:50:05.117719', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:14.868974', 'zmq_push_time': '2026-03-02 20:51:14.868974', 'total_time_s': 69.75133681297302, 'http_queue_latency_s': 8.153915405273438e-05}
2026-03-02 20:51:15,040 - root - INFO - [Worker-0/PID-23808] - [556094672] {'request_id': 556094672, 'input_seq_len': 9760, 'output_seq_len': 1015, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.037130', 'http_post_time': '2026-03-02 20:50:05.037294', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:15.040587', 'zmq_push_time': '2026-03-02 20:51:15.040587', 'total_time_s': 70.0034568309784, 'http_queue_latency_s': 0.00016379356384277344}
2026-03-02 20:51:15,337 - root - INFO - [Worker-0/PID-23808] - [556187344] {'request_id': 556187344, 'input_seq_len': 3057, 'output_seq_len': 886, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.606009', 'http_post_time': '2026-03-02 20:50:05.606101', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:15.337135', 'zmq_push_time': '2026-03-02 20:51:15.337135', 'total_time_s': 69.73112630844116, 'http_queue_latency_s': 9.1552734375e-05}
2026-03-02 20:51:15,485 - root - INFO - [Worker-0/PID-23808] - [556105936] {'request_id': 556105936, 'input_seq_len': 4385, 'output_seq_len': 1007, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.124654', 'http_post_time': '2026-03-02 20:50:05.124844', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:15.485134', 'zmq_push_time': '2026-03-02 20:51:15.485134', 'total_time_s': 70.36047983169556, 'http_queue_latency_s': 0.00019025802612304688}
2026-03-02 20:51:16,143 - root - INFO - [Worker-0/PID-23808] - [556229328] {'request_id': 556229328, 'input_seq_len': 1006, 'output_seq_len': 845, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.852889', 'http_post_time': '2026-03-02 20:50:05.853271', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:16.142975', 'zmq_push_time': '2026-03-02 20:51:16.142975', 'total_time_s': 70.29008603096008, 'http_queue_latency_s': 0.0003821849822998047}
2026-03-02 20:51:16,327 - root - INFO - [Worker-0/PID-23808] - [556180176] {'request_id': 556180176, 'input_seq_len': 4239, 'output_seq_len': 918, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.563937', 'http_post_time': '2026-03-02 20:50:05.564042', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:16.327819', 'zmq_push_time': '2026-03-02 20:51:16.327819', 'total_time_s': 70.76388216018677, 'http_queue_latency_s': 0.00010538101196289062}
2026-03-02 20:51:16,420 - root - INFO - [Worker-0/PID-23808] - [556264656] {'request_id': 556264656, 'input_seq_len': 3245, 'output_seq_len': 799, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:06.073984', 'http_post_time': '2026-03-02 20:50:06.074082', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:16.420166', 'zmq_push_time': '2026-03-02 20:51:16.420166', 'total_time_s': 70.34618186950684, 'http_queue_latency_s': 9.870529174804688e-05}
2026-03-02 20:51:16,466 - root - INFO - [Worker-0/PID-23808] - [556232912] {'request_id': 556232912, 'input_seq_len': 3395, 'output_seq_len': 845, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.874081', 'http_post_time': '2026-03-02 20:50:05.874179', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:16.466570', 'zmq_push_time': '2026-03-02 20:51:16.466570', 'total_time_s': 70.59248900413513, 'http_queue_latency_s': 9.846687316894531e-05}
2026-03-02 20:51:16,469 - root - INFO - [Worker-0/PID-23808] - [556091600] {'request_id': 556091600, 'input_seq_len': 2678, 'output_seq_len': 1048, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.009229', 'http_post_time': '2026-03-02 20:50:05.009304', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:16.468997', 'zmq_push_time': '2026-03-02 20:51:16.468997', 'total_time_s': 71.45976781845093, 'http_queue_latency_s': 7.534027099609375e-05}
2026-03-02 20:51:16,569 - root - INFO - [Worker-0/PID-23808] - [556135632] {'request_id': 556135632, 'input_seq_len': 6679, 'output_seq_len': 985, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.293698', 'http_post_time': '2026-03-02 20:50:05.293883', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:16.569157', 'zmq_push_time': '2026-03-02 20:51:16.569157', 'total_time_s': 71.27545976638794, 'http_queue_latency_s': 0.0001850128173828125}
2026-03-02 20:51:16,769 - root - INFO - [Worker-0/PID-23808] - [556108496] {'request_id': 556108496, 'input_seq_len': 3316, 'output_seq_len': 1027, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.139329', 'http_post_time': '2026-03-02 20:50:05.139409', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:16.769086', 'zmq_push_time': '2026-03-02 20:51:16.769086', 'total_time_s': 71.62975668907166, 'http_queue_latency_s': 7.963180541992188e-05}
2026-03-02 20:51:16,876 - root - INFO - [Worker-0/PID-23808] - [556110032] {'request_id': 556110032, 'input_seq_len': 4115, 'output_seq_len': 1026, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.147529', 'http_post_time': '2026-03-02 20:50:05.148148', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:16.876566', 'zmq_push_time': '2026-03-02 20:51:16.876566', 'total_time_s': 71.72903680801392, 'http_queue_latency_s': 0.0006189346313476562}
2026-03-02 20:51:17,072 - root - INFO - [Worker-0/PID-23808] - [556173008] {'request_id': 556173008, 'input_seq_len': 4763, 'output_seq_len': 938, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.517746', 'http_post_time': '2026-03-02 20:50:05.517866', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:17.072680', 'zmq_push_time': '2026-03-02 20:51:17.072680', 'total_time_s': 71.55493402481079, 'http_queue_latency_s': 0.0001201629638671875}
2026-03-02 20:51:17,183 - root - INFO - [Worker-0/PID-23808] - [556244688] {'request_id': 556244688, 'input_seq_len': 2619, 'output_seq_len': 839, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.946188', 'http_post_time': '2026-03-02 20:50:05.946266', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:17.183782', 'zmq_push_time': '2026-03-02 20:51:17.183782', 'total_time_s': 71.23759412765503, 'http_queue_latency_s': 7.867813110351562e-05}
2026-03-02 20:51:17,669 - root - INFO - [Worker-0/PID-23808] - [556223696] {'request_id': 556223696, 'input_seq_len': 3022, 'output_seq_len': 878, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.823644', 'http_post_time': '2026-03-02 20:50:05.823720', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:17.668982', 'zmq_push_time': '2026-03-02 20:51:17.668982', 'total_time_s': 71.84533739089966, 'http_queue_latency_s': 7.557868957519531e-05}
2026-03-02 20:51:17,934 - root - INFO - [Worker-0/PID-23808] - [556103888] {'request_id': 556103888, 'input_seq_len': 7363, 'output_seq_len': 1055, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.114637', 'http_post_time': '2026-03-02 20:50:05.114864', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:17.934270', 'zmq_push_time': '2026-03-02 20:51:17.934270', 'total_time_s': 72.81963324546814, 'http_queue_latency_s': 0.00022745132446289062}
2026-03-02 20:51:18,535 - root - INFO - [Worker-0/PID-23808] - [556194000] {'request_id': 556194000, 'input_seq_len': 1379, 'output_seq_len': 938, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.648857', 'http_post_time': '2026-03-02 20:50:05.648912', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:18.535418', 'zmq_push_time': '2026-03-02 20:51:18.535418', 'total_time_s': 72.88656044006348, 'http_queue_latency_s': 5.4836273193359375e-05}
2026-03-02 20:51:18,727 - root - INFO - [Worker-0/PID-23808] - [556203728] {'request_id': 556203728, 'input_seq_len': 1604, 'output_seq_len': 929, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.702782', 'http_post_time': '2026-03-02 20:50:05.702850', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:18.727672', 'zmq_push_time': '2026-03-02 20:51:18.727672', 'total_time_s': 73.02488970756531, 'http_queue_latency_s': 6.747245788574219e-05}
2026-03-02 20:51:18,765 - root - INFO - [Worker-0/PID-23808] - [556209360] {'request_id': 556209360, 'input_seq_len': 2671, 'output_seq_len': 922, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.741333', 'http_post_time': '2026-03-02 20:50:05.741427', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:18.765106', 'zmq_push_time': '2026-03-02 20:51:18.765106', 'total_time_s': 73.02377319335938, 'http_queue_latency_s': 9.441375732421875e-05}
2026-03-02 20:51:18,896 - root - INFO - [Worker-0/PID-23808] - [556093648] {'request_id': 556093648, 'input_seq_len': 3924, 'output_seq_len': 1091, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.028176', 'http_post_time': '2026-03-02 20:50:05.028311', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:18.896798', 'zmq_push_time': '2026-03-02 20:51:18.896798', 'total_time_s': 73.86862182617188, 'http_queue_latency_s': 0.00013518333435058594}
