2026-03-02 20:49:44,881 - root - INFO - [Worker-1/PID-25417] - Worker 1 (PID: 25417) logging initialized
2026-03-02 20:49:44,883 - root - INFO - [Worker-1/PID-25417] - Worker 1 starting (PID: 25417)
2026-03-02 20:49:45,642 - root - INFO - [Worker-1/PID-25417] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-02 20:49:45,642 - root - INFO - [Worker-1/PID-25417] - Worker 1 initialized successfully
2026-03-02 20:51:05,151 - root - INFO - [Worker-1/PID-25417] - [556090192] {'request_id': 556090192, 'input_seq_len': 2172, 'output_seq_len': 792, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:04.999624', 'http_post_time': '2026-03-02 20:50:04.999729', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:05.151274', 'zmq_push_time': '2026-03-02 20:51:05.151274', 'total_time_s': 60.151649951934814, 'http_queue_latency_s': 0.0001049041748046875}
2026-03-02 20:51:05,700 - root - INFO - [Worker-1/PID-25417] - [556095824] {'request_id': 556095824, 'input_seq_len': 3315, 'output_seq_len': 796, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.045094', 'http_post_time': '2026-03-02 20:50:05.045201', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:05.699987', 'zmq_push_time': '2026-03-02 20:51:05.699987', 'total_time_s': 60.65489220619202, 'http_queue_latency_s': 0.00010657310485839844}
2026-03-02 20:51:06,133 - root - INFO - [Worker-1/PID-25417] - [556116304] {'request_id': 556116304, 'input_seq_len': 4677, 'output_seq_len': 777, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.188634', 'http_post_time': '2026-03-02 20:50:05.188789', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:06.133124', 'zmq_push_time': '2026-03-02 20:51:06.133124', 'total_time_s': 60.9444899559021, 'http_queue_latency_s': 0.00015497207641601562}
2026-03-02 20:51:08,461 - root - INFO - [Worker-1/PID-25417] - [556084048] {'request_id': 556084048, 'input_seq_len': 3317, 'output_seq_len': 878, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:04.949958', 'http_post_time': '2026-03-02 20:50:04.950484', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:08.461044', 'zmq_push_time': '2026-03-02 20:51:08.461044', 'total_time_s': 63.511086225509644, 'http_queue_latency_s': 0.0005257129669189453}
2026-03-02 20:51:08,464 - root - INFO - [Worker-1/PID-25417] - [556183376] {'request_id': 556183376, 'input_seq_len': 1074, 'output_seq_len': 738, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.582289', 'http_post_time': '2026-03-02 20:50:05.582382', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:08.464220', 'zmq_push_time': '2026-03-02 20:51:08.464220', 'total_time_s': 62.88193106651306, 'http_queue_latency_s': 9.34600830078125e-05}
2026-03-02 20:51:08,658 - root - INFO - [Worker-1/PID-25417] - [556304720] {'request_id': 556304720, 'input_seq_len': 600, 'output_seq_len': 559, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:06.316621', 'http_post_time': '2026-03-02 20:50:06.316698', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:08.658652', 'zmq_push_time': '2026-03-02 20:51:08.658652', 'total_time_s': 62.342031478881836, 'http_queue_latency_s': 7.677078247070312e-05}
2026-03-02 20:51:10,152 - root - INFO - [Worker-1/PID-25417] - [556214096] {'request_id': 556214096, 'input_seq_len': 984, 'output_seq_len': 730, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.770028', 'http_post_time': '2026-03-02 20:50:05.770081', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:10.151968', 'zmq_push_time': '2026-03-02 20:51:10.151968', 'total_time_s': 64.38193964958191, 'http_queue_latency_s': 5.245208740234375e-05}
2026-03-02 20:51:10,972 - root - INFO - [Worker-1/PID-25417] - [556102992] {'request_id': 556102992, 'input_seq_len': 3578, 'output_seq_len': 909, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.109154', 'http_post_time': '2026-03-02 20:50:05.109274', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:10.972020', 'zmq_push_time': '2026-03-02 20:51:10.972020', 'total_time_s': 65.86286568641663, 'http_queue_latency_s': 0.00011944770812988281}
2026-03-02 20:51:11,180 - root - INFO - [Worker-1/PID-25417] - [556143952] {'request_id': 556143952, 'input_seq_len': 2717, 'output_seq_len': 853, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.341783', 'http_post_time': '2026-03-02 20:50:05.341882', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:11.179998', 'zmq_push_time': '2026-03-02 20:51:11.179998', 'total_time_s': 65.83821487426758, 'http_queue_latency_s': 9.894371032714844e-05}
2026-03-02 20:51:11,706 - root - INFO - [Worker-1/PID-25417] - [556128592] {'request_id': 556128592, 'input_seq_len': 3110, 'output_seq_len': 885, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.254183', 'http_post_time': '2026-03-02 20:50:05.254255', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:11.706192', 'zmq_push_time': '2026-03-02 20:51:11.706192', 'total_time_s': 66.45200872421265, 'http_queue_latency_s': 7.224082946777344e-05}
2026-03-02 20:51:12,238 - root - INFO - [Worker-1/PID-25417] - [556096848] {'request_id': 556096848, 'input_seq_len': 3822, 'output_seq_len': 943, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 20:50:05.052867', 'http_post_time': '2026-03-02 20:50:05.052997', 'first_token_time': None, 'final_token_time': '2026-03-02 20:51:12.238155', 'zmq_push_time': '2026-03-02 20:51:12.238155', 'total_time_s': 67.1852879524231, 'http_queue_latency_s': 0.0001304149627685547}
