2026-03-02 21:11:56,286 - root - INFO - [Worker-1/PID-24011] - Worker 1 (PID: 24011) logging initialized
2026-03-02 21:11:56,287 - root - INFO - [Worker-1/PID-24011] - Worker 1 starting (PID: 24011)
2026-03-02 21:11:57,128 - root - INFO - [Worker-1/PID-24011] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-02 21:11:57,129 - root - INFO - [Worker-1/PID-24011] - Worker 1 initialized successfully
2026-03-02 21:13:16,262 - root - INFO - [Worker-1/PID-24011] - [825178016] {'request_id': 825178016, 'input_seq_len': 175, 'output_seq_len': 533, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.218340', 'http_post_time': '2026-03-02 21:13:01.219750', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:16.262617', 'zmq_push_time': '2026-03-02 21:13:16.262617', 'total_time_s': 15.044276714324951, 'http_queue_latency_s': 0.001409769058227539}
2026-03-02 21:13:19,740 - root - INFO - [Worker-1/PID-24011] - [825214368] {'request_id': 825214368, 'input_seq_len': 266, 'output_seq_len': 691, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.257917', 'http_post_time': '2026-03-02 21:13:01.260409', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:19.740707', 'zmq_push_time': '2026-03-02 21:13:19.740707', 'total_time_s': 18.482790231704712, 'http_queue_latency_s': 0.0024924278259277344}
2026-03-02 21:13:20,717 - root - INFO - [Worker-1/PID-24011] - [825260448] {'request_id': 825260448, 'input_seq_len': 220, 'output_seq_len': 730, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.287956', 'http_post_time': '2026-03-02 21:13:01.287993', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:20.716967', 'zmq_push_time': '2026-03-02 21:13:20.716967', 'total_time_s': 19.42901086807251, 'http_queue_latency_s': 3.695487976074219e-05}
2026-03-02 21:13:21,211 - root - INFO - [Worker-1/PID-24011] - [825178528] {'request_id': 825178528, 'input_seq_len': 323, 'output_seq_len': 765, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.218378', 'http_post_time': '2026-03-02 21:13:01.219838', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:21.210913', 'zmq_push_time': '2026-03-02 21:13:21.210913', 'total_time_s': 19.99253511428833, 'http_queue_latency_s': 0.0014598369598388672}
2026-03-02 21:13:21,293 - root - INFO - [Worker-1/PID-24011] - [825295264] {'request_id': 825295264, 'input_seq_len': 333, 'output_seq_len': 752, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.321666', 'http_post_time': '2026-03-02 21:13:01.321939', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:21.293690', 'zmq_push_time': '2026-03-02 21:13:21.293690', 'total_time_s': 19.97202444076538, 'http_queue_latency_s': 0.0002739429473876953}
2026-03-02 21:13:21,826 - root - INFO - [Worker-1/PID-24011] - [825194912] {'request_id': 825194912, 'input_seq_len': 168, 'output_seq_len': 792, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.229981', 'http_post_time': '2026-03-02 21:13:01.230021', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:21.826542', 'zmq_push_time': '2026-03-02 21:13:21.826542', 'total_time_s': 20.59656047821045, 'http_queue_latency_s': 3.933906555175781e-05}
2026-03-02 21:13:21,868 - root - INFO - [Worker-1/PID-24011] - [825292704] {'request_id': 825292704, 'input_seq_len': 289, 'output_seq_len': 779, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.319894', 'http_post_time': '2026-03-02 21:13:01.320466', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:21.868783', 'zmq_push_time': '2026-03-02 21:13:21.868783', 'total_time_s': 20.548888444900513, 'http_queue_latency_s': 0.0005717277526855469}
2026-03-02 21:13:24,043 - root - INFO - [Worker-1/PID-24011] - [825205664] {'request_id': 825205664, 'input_seq_len': 426, 'output_seq_len': 892, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.257371', 'http_post_time': '2026-03-02 21:13:01.259355', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:24.043135', 'zmq_push_time': '2026-03-02 21:13:24.043135', 'total_time_s': 22.78576350212097, 'http_queue_latency_s': 0.001984119415283203}
2026-03-02 21:13:25,362 - root - INFO - [Worker-1/PID-24011] - [825234336] {'request_id': 825234336, 'input_seq_len': 129, 'output_seq_len': 949, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.265016', 'http_post_time': '2026-03-02 21:13:01.266098', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:25.362671', 'zmq_push_time': '2026-03-02 21:13:25.362671', 'total_time_s': 24.097654819488525, 'http_queue_latency_s': 0.0010826587677001953}
2026-03-02 21:13:25,512 - root - INFO - [Worker-1/PID-24011] - [825206176] {'request_id': 825206176, 'input_seq_len': 368, 'output_seq_len': 960, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.257401', 'http_post_time': '2026-03-02 21:13:01.259413', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:25.512717', 'zmq_push_time': '2026-03-02 21:13:25.512717', 'total_time_s': 24.255316257476807, 'http_queue_latency_s': 0.002012968063354492}
2026-03-02 21:13:27,440 - root - INFO - [Worker-1/PID-24011] - [825291680] {'request_id': 825291680, 'input_seq_len': 469, 'output_seq_len': 1036, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.318885', 'http_post_time': '2026-03-02 21:13:01.319753', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:27.440458', 'zmq_push_time': '2026-03-02 21:13:27.440458', 'total_time_s': 26.121572494506836, 'http_queue_latency_s': 0.0008676052093505859}
