2026-03-02 21:12:51,087 - root - INFO - [Worker-1/PID-26423] - Worker 1 (PID: 26423) logging initialized
2026-03-02 21:12:51,089 - root - INFO - [Worker-1/PID-26423] - Worker 1 starting (PID: 26423)
2026-03-02 21:12:51,897 - root - INFO - [Worker-1/PID-26423] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-02 21:12:51,898 - root - INFO - [Worker-1/PID-26423] - Worker 1 initialized successfully
2026-03-02 21:13:13,183 - root - INFO - [Worker-1/PID-26423] - [825308256] {'request_id': 825308256, 'input_seq_len': 207, 'output_seq_len': 464, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.332530', 'http_post_time': '2026-03-02 21:13:01.333328', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:13.183064', 'zmq_push_time': '2026-03-02 21:13:13.183064', 'total_time_s': 11.850533723831177, 'http_queue_latency_s': 0.0007975101470947266}
2026-03-02 21:13:15,427 - root - INFO - [Worker-1/PID-26423] - [825307232] {'request_id': 825307232, 'input_seq_len': 215, 'output_seq_len': 572, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.331509', 'http_post_time': '2026-03-02 21:13:01.332239', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:15.427349', 'zmq_push_time': '2026-03-02 21:13:15.427349', 'total_time_s': 14.095840215682983, 'http_queue_latency_s': 0.0007300376892089844}
2026-03-02 21:13:16,357 - root - INFO - [Worker-1/PID-26423] - [825268832] {'request_id': 825268832, 'input_seq_len': 175, 'output_seq_len': 621, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.296492', 'http_post_time': '2026-03-02 21:13:01.296533', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:16.357358', 'zmq_push_time': '2026-03-02 21:13:16.357358', 'total_time_s': 15.060866117477417, 'http_queue_latency_s': 4.1484832763671875e-05}
2026-03-02 21:13:17,013 - root - INFO - [Worker-1/PID-26423] - [825255520] {'request_id': 825255520, 'input_seq_len': 311, 'output_seq_len': 654, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.283267', 'http_post_time': '2026-03-02 21:13:01.283394', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:17.013070', 'zmq_push_time': '2026-03-02 21:13:17.013070', 'total_time_s': 15.729803085327148, 'http_queue_latency_s': 0.00012731552124023438}
2026-03-02 21:13:17,016 - root - INFO - [Worker-1/PID-26423] - [825250912] {'request_id': 825250912, 'input_seq_len': 188, 'output_seq_len': 654, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.279636', 'http_post_time': '2026-03-02 21:13:01.279878', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:17.016450', 'zmq_push_time': '2026-03-02 21:13:17.016450', 'total_time_s': 15.736814260482788, 'http_queue_latency_s': 0.00024175643920898438}
2026-03-02 21:13:19,052 - root - INFO - [Worker-1/PID-26423] - [825231968] {'request_id': 825231968, 'input_seq_len': 194, 'output_seq_len': 752, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.263373', 'http_post_time': '2026-03-02 21:13:01.263712', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:19.052129', 'zmq_push_time': '2026-03-02 21:13:19.052129', 'total_time_s': 17.788755893707275, 'http_queue_latency_s': 0.0003390312194824219}
2026-03-02 21:13:21,126 - root - INFO - [Worker-1/PID-26423] - [825206368] {'request_id': 825206368, 'input_seq_len': 346, 'output_seq_len': 853, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.241544', 'http_post_time': '2026-03-02 21:13:01.242536', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:21.126297', 'zmq_push_time': '2026-03-02 21:13:21.126297', 'total_time_s': 19.88475275039673, 'http_queue_latency_s': 0.0009920597076416016}
2026-03-02 21:13:21,296 - root - INFO - [Worker-1/PID-26423] - [825299552] {'request_id': 825299552, 'input_seq_len': 162, 'output_seq_len': 847, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.326366', 'http_post_time': '2026-03-02 21:13:01.327218', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:21.296058', 'zmq_push_time': '2026-03-02 21:13:21.296058', 'total_time_s': 19.96969175338745, 'http_queue_latency_s': 0.0008523464202880859}
2026-03-02 21:13:22,460 - root - INFO - [Worker-1/PID-26423] - [825221728] {'request_id': 825221728, 'input_seq_len': 340, 'output_seq_len': 913, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.254472', 'http_post_time': '2026-03-02 21:13:01.255073', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:22.460108', 'zmq_push_time': '2026-03-02 21:13:22.460108', 'total_time_s': 21.205636024475098, 'http_queue_latency_s': 0.0006012916564941406}
2026-03-02 21:13:23,630 - root - INFO - [Worker-1/PID-26423] - [825192032] {'request_id': 825192032, 'input_seq_len': 163, 'output_seq_len': 971, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.228618', 'http_post_time': '2026-03-02 21:13:01.230267', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:23.630492', 'zmq_push_time': '2026-03-02 21:13:23.630492', 'total_time_s': 22.40187430381775, 'http_queue_latency_s': 0.001649618148803711}
2026-03-02 21:13:24,064 - root - INFO - [Worker-1/PID-26423] - [825306720] {'request_id': 825306720, 'input_seq_len': 311, 'output_seq_len': 974, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.330352', 'http_post_time': '2026-03-02 21:13:01.331352', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:24.064325', 'zmq_push_time': '2026-03-02 21:13:24.064325', 'total_time_s': 22.733972787857056, 'http_queue_latency_s': 0.0009999275207519531}
2026-03-02 21:13:24,803 - root - INFO - [Worker-1/PID-26423] - [825291360] {'request_id': 825291360, 'input_seq_len': 469, 'output_seq_len': 1010, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.318117', 'http_post_time': '2026-03-02 21:13:01.319109', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:24.802909', 'zmq_push_time': '2026-03-02 21:13:24.802909', 'total_time_s': 23.48479127883911, 'http_queue_latency_s': 0.0009920597076416016}
2026-03-02 21:13:24,809 - root - INFO - [Worker-1/PID-26423] - [825234016] {'request_id': 825234016, 'input_seq_len': 309, 'output_seq_len': 1019, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.265119', 'http_post_time': '2026-03-02 21:13:01.265586', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:24.809242', 'zmq_push_time': '2026-03-02 21:13:24.809242', 'total_time_s': 23.54412269592285, 'http_queue_latency_s': 0.0004668235778808594}
2026-03-02 21:13:25,784 - root - INFO - [Worker-1/PID-26423] - [825289824] {'request_id': 825289824, 'input_seq_len': 340, 'output_seq_len': 1055, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.317976', 'http_post_time': '2026-03-02 21:13:01.318873', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:25.783846', 'zmq_push_time': '2026-03-02 21:13:25.783846', 'total_time_s': 24.46587038040161, 'http_queue_latency_s': 0.0008971691131591797}
2026-03-02 21:13:25,828 - root - INFO - [Worker-1/PID-26423] - [825310816] {'request_id': 825310816, 'input_seq_len': 128, 'output_seq_len': 1054, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.333789', 'http_post_time': '2026-03-02 21:13:01.334513', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:25.828039', 'zmq_push_time': '2026-03-02 21:13:25.828039', 'total_time_s': 24.494250297546387, 'http_queue_latency_s': 0.0007243156433105469}
2026-03-02 21:13:25,868 - root - INFO - [Worker-1/PID-26423] - [825249888] {'request_id': 825249888, 'input_seq_len': 403, 'output_seq_len': 1066, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.278652', 'http_post_time': '2026-03-02 21:13:01.278900', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:25.868111', 'zmq_push_time': '2026-03-02 21:13:25.868111', 'total_time_s': 24.58945870399475, 'http_queue_latency_s': 0.00024819374084472656}
2026-03-02 21:13:26,651 - root - INFO - [Worker-1/PID-26423] - [825229408] {'request_id': 825229408, 'input_seq_len': 404, 'output_seq_len': 1105, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.260850', 'http_post_time': '2026-03-02 21:13:01.261390', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:26.651423', 'zmq_push_time': '2026-03-02 21:13:26.651423', 'total_time_s': 25.390573263168335, 'http_queue_latency_s': 0.0005407333374023438}
2026-03-02 21:13:27,509 - root - INFO - [Worker-1/PID-26423] - [825235552] {'request_id': 825235552, 'input_seq_len': 394, 'output_seq_len': 1143, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.266021', 'http_post_time': '2026-03-02 21:13:01.266298', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:27.508869', 'zmq_push_time': '2026-03-02 21:13:27.508869', 'total_time_s': 26.242847681045532, 'http_queue_latency_s': 0.00027680397033691406}
2026-03-02 21:13:28,222 - root - INFO - [Worker-1/PID-26423] - [825177184] {'request_id': 825177184, 'input_seq_len': 238, 'output_seq_len': 1183, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.221886', 'http_post_time': '2026-03-02 21:13:01.224160', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:28.222502', 'zmq_push_time': '2026-03-02 21:13:28.222502', 'total_time_s': 27.000615119934082, 'http_queue_latency_s': 0.0022737979888916016}
2026-03-02 21:13:28,425 - root - INFO - [Worker-1/PID-26423] - [825243232] {'request_id': 825243232, 'input_seq_len': 418, 'output_seq_len': 1184, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.271986', 'http_post_time': '2026-03-02 21:13:01.272351', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:28.424985', 'zmq_push_time': '2026-03-02 21:13:28.424985', 'total_time_s': 27.152998685836792, 'http_queue_latency_s': 0.0003643035888671875}
2026-03-02 21:13:29,216 - root - INFO - [Worker-1/PID-26423] - [825195104] {'request_id': 825195104, 'input_seq_len': 427, 'output_seq_len': 1226, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.233747', 'http_post_time': '2026-03-02 21:13:01.235200', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:29.216718', 'zmq_push_time': '2026-03-02 21:13:29.216718', 'total_time_s': 27.98297119140625, 'http_queue_latency_s': 0.0014531612396240234}
2026-03-02 21:13:30,186 - root - INFO - [Worker-1/PID-26423] - [825174624] {'request_id': 825174624, 'input_seq_len': 384, 'output_seq_len': 1276, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.212196', 'http_post_time': '2026-03-02 21:13:01.213477', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:30.186749', 'zmq_push_time': '2026-03-02 21:13:30.186749', 'total_time_s': 28.97455334663391, 'http_queue_latency_s': 0.0012807846069335938}
