2026-03-02 21:12:15,099 - root - INFO - [Worker-0/PID-24814] - Worker 0 (PID: 24814) logging initialized
2026-03-02 21:12:15,100 - root - INFO - [Worker-0/PID-24814] - Worker 0 starting (PID: 24814)
2026-03-02 21:12:15,920 - root - INFO - [Worker-0/PID-24814] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-02 21:12:15,921 - root - INFO - [Worker-0/PID-24814] - Worker 0 initialized successfully
2026-03-02 21:13:28,989 - root - INFO - [Worker-0/PID-24814] - [825240544] {'request_id': 825240544, 'input_seq_len': 215, 'output_seq_len': 1155, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.269879', 'http_post_time': '2026-03-02 21:13:01.269914', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:28.989591', 'zmq_push_time': '2026-03-02 21:13:28.989591', 'total_time_s': 27.719712495803833, 'http_queue_latency_s': 3.5762786865234375e-05}
2026-03-02 21:13:29,338 - root - INFO - [Worker-0/PID-24814] - [825252320] {'request_id': 825252320, 'input_seq_len': 291, 'output_seq_len': 1168, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.280406', 'http_post_time': '2026-03-02 21:13:01.280437', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:29.338402', 'zmq_push_time': '2026-03-02 21:13:29.338402', 'total_time_s': 28.057995796203613, 'http_queue_latency_s': 3.170967102050781e-05}
2026-03-02 21:13:30,689 - root - INFO - [Worker-0/PID-24814] - [825237472] {'request_id': 825237472, 'input_seq_len': 129, 'output_seq_len': 1229, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.267402', 'http_post_time': '2026-03-02 21:13:01.267435', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:30.688995', 'zmq_push_time': '2026-03-02 21:13:30.688995', 'total_time_s': 29.421593189239502, 'http_queue_latency_s': 3.266334533691406e-05}
2026-03-02 21:13:30,701 - root - INFO - [Worker-0/PID-24814] - [825261536] {'request_id': 825261536, 'input_seq_len': 193, 'output_seq_len': 1227, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.289107', 'http_post_time': '2026-03-02 21:13:01.289175', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:30.701448', 'zmq_push_time': '2026-03-02 21:13:30.701448', 'total_time_s': 29.412340879440308, 'http_queue_latency_s': 6.794929504394531e-05}
2026-03-02 21:13:31,616 - root - INFO - [Worker-0/PID-24814] - [825247712] {'request_id': 825247712, 'input_seq_len': 340, 'output_seq_len': 1271, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.276862', 'http_post_time': '2026-03-02 21:13:01.276900', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:31.615925', 'zmq_push_time': '2026-03-02 21:13:31.615925', 'total_time_s': 30.339062452316284, 'http_queue_latency_s': 3.7670135498046875e-05}
2026-03-02 21:13:32,029 - root - INFO - [Worker-0/PID-24814] - [825203680] {'request_id': 825203680, 'input_seq_len': 282, 'output_seq_len': 1296, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.238352', 'http_post_time': '2026-03-02 21:13:01.238389', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:32.028865', 'zmq_push_time': '2026-03-02 21:13:32.028865', 'total_time_s': 30.790513277053833, 'http_queue_latency_s': 3.743171691894531e-05}
2026-03-02 21:13:32,309 - root - INFO - [Worker-0/PID-24814] - [825260512] {'request_id': 825260512, 'input_seq_len': 357, 'output_seq_len': 1301, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.288123', 'http_post_time': '2026-03-02 21:13:01.288304', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:32.309142', 'zmq_push_time': '2026-03-02 21:13:32.309142', 'total_time_s': 31.021018743515015, 'http_queue_latency_s': 0.0001811981201171875}
2026-03-02 21:13:32,355 - root - INFO - [Worker-0/PID-24814] - [825252832] {'request_id': 825252832, 'input_seq_len': 448, 'output_seq_len': 1304, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.280827', 'http_post_time': '2026-03-02 21:13:01.280867', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:32.355252', 'zmq_push_time': '2026-03-02 21:13:32.355252', 'total_time_s': 31.074424505233765, 'http_queue_latency_s': 3.981590270996094e-05}
2026-03-02 21:13:32,906 - root - INFO - [Worker-0/PID-24814] - [825284064] {'request_id': 825284064, 'input_seq_len': 175, 'output_seq_len': 1325, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.313007', 'http_post_time': '2026-03-02 21:13:01.315243', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:32.906452', 'zmq_push_time': '2026-03-02 21:13:32.906452', 'total_time_s': 31.59344458580017, 'http_queue_latency_s': 0.0022361278533935547}
2026-03-02 21:13:32,978 - root - INFO - [Worker-0/PID-24814] - [825249760] {'request_id': 825249760, 'input_seq_len': 163, 'output_seq_len': 1333, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.278377', 'http_post_time': '2026-03-02 21:13:01.278416', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:32.978106', 'zmq_push_time': '2026-03-02 21:13:32.978106', 'total_time_s': 31.699728965759277, 'http_queue_latency_s': 3.8623809814453125e-05}
2026-03-02 21:13:33,907 - root - INFO - [Worker-0/PID-24814] - [825308640] {'request_id': 825308640, 'input_seq_len': 437, 'output_seq_len': 1367, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.332000', 'http_post_time': '2026-03-02 21:13:01.332074', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:33.907209', 'zmq_push_time': '2026-03-02 21:13:33.907209', 'total_time_s': 32.57520890235901, 'http_queue_latency_s': 7.414817810058594e-05}
2026-03-02 21:13:33,926 - root - INFO - [Worker-0/PID-24814] - [825246176] {'request_id': 825246176, 'input_seq_len': 587, 'output_seq_len': 1377, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.275091', 'http_post_time': '2026-03-02 21:13:01.275135', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:33.926475', 'zmq_push_time': '2026-03-02 21:13:33.926475', 'total_time_s': 32.651384115219116, 'http_queue_latency_s': 4.363059997558594e-05}
2026-03-02 21:13:34,279 - root - INFO - [Worker-0/PID-24814] - [825223136] {'request_id': 825223136, 'input_seq_len': 521, 'output_seq_len': 1396, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.255439', 'http_post_time': '2026-03-02 21:13:01.255479', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:34.278960', 'zmq_push_time': '2026-03-02 21:13:34.278960', 'total_time_s': 33.023520946502686, 'http_queue_latency_s': 4.0531158447265625e-05}
2026-03-02 21:13:34,880 - root - INFO - [Worker-0/PID-24814] - [825209824] {'request_id': 825209824, 'input_seq_len': 382, 'output_seq_len': 1426, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.243517', 'http_post_time': '2026-03-02 21:13:01.243623', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:34.880513', 'zmq_push_time': '2026-03-02 21:13:34.880513', 'total_time_s': 33.636996030807495, 'http_queue_latency_s': 0.00010561943054199219}
