2026-02-27 18:20:35,085 - root - INFO - [Worker-0/PID-26250] - Worker 0 (PID: 26250) logging initialized
2026-02-27 18:20:35,086 - root - INFO - [Worker-0/PID-26250] - Worker 0 starting (PID: 26250)
2026-02-27 18:20:35,895 - root - INFO - [Worker-0/PID-26250] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-02-27 18:20:35,895 - root - INFO - [Worker-0/PID-26250] - Worker 0 initialized successfully
2026-02-27 18:22:21,331 - root - INFO - [Worker-0/PID-26250] - [1012252080] {'request_id': 1012252080, 'input_seq_len': 1185, 'output_seq_len': 596, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.361171', 'http_post_time': '2026-02-27 18:21:25.362798', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:21.330771', 'zmq_push_time': '2026-02-27 18:22:21.330771', 'total_time_s': 55.96959972381592, 'http_queue_latency_s': 0.0016264915466308594}
2026-02-27 18:22:22,650 - root - INFO - [Worker-0/PID-26250] - [1012191664] {'request_id': 1012191664, 'input_seq_len': 3324, 'output_seq_len': 716, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.023628', 'http_post_time': '2026-02-27 18:21:25.023708', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:22.649966', 'zmq_push_time': '2026-02-27 18:22:22.649966', 'total_time_s': 57.626338481903076, 'http_queue_latency_s': 8.034706115722656e-05}
2026-02-27 18:22:23,118 - root - INFO - [Worker-0/PID-26250] - [1012158896] {'request_id': 1012158896, 'input_seq_len': 3586, 'output_seq_len': 775, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.810022', 'http_post_time': '2026-02-27 18:21:24.810459', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:23.117959', 'zmq_push_time': '2026-02-27 18:22:23.117959', 'total_time_s': 58.30793762207031, 'http_queue_latency_s': 0.0004374980926513672}
2026-02-27 18:22:26,178 - root - INFO - [Worker-0/PID-26250] - [1012200880] {'request_id': 1012200880, 'input_seq_len': 1547, 'output_seq_len': 790, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.075182', 'http_post_time': '2026-02-27 18:21:25.075246', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:26.177940', 'zmq_push_time': '2026-02-27 18:22:26.177940', 'total_time_s': 61.10275840759277, 'http_queue_latency_s': 6.413459777832031e-05}
2026-02-27 18:22:27,184 - root - INFO - [Worker-0/PID-26250] - [1012198832] {'request_id': 1012198832, 'input_seq_len': 1917, 'output_seq_len': 816, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.064983', 'http_post_time': '2026-02-27 18:21:25.065071', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:27.184244', 'zmq_push_time': '2026-02-27 18:22:27.184244', 'total_time_s': 62.11926078796387, 'http_queue_latency_s': 8.749961853027344e-05}
2026-02-27 18:22:27,478 - root - INFO - [Worker-0/PID-26250] - [1012241840] {'request_id': 1012241840, 'input_seq_len': 1772, 'output_seq_len': 752, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.297291', 'http_post_time': '2026-02-27 18:21:25.297935', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:27.478345', 'zmq_push_time': '2026-02-27 18:22:27.478345', 'total_time_s': 62.18105435371399, 'http_queue_latency_s': 0.0006437301635742188}
2026-02-27 18:22:29,300 - root - INFO - [Worker-0/PID-26250] - [1012210608] {'request_id': 1012210608, 'input_seq_len': 6869, 'output_seq_len': 845, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.123197', 'http_post_time': '2026-02-27 18:21:25.123368', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:29.300198', 'zmq_push_time': '2026-02-27 18:22:29.300198', 'total_time_s': 64.17700171470642, 'http_queue_latency_s': 0.00017142295837402344}
2026-02-27 18:22:29,328 - root - INFO - [Worker-0/PID-26250] - [1012261296] {'request_id': 1012261296, 'input_seq_len': 3216, 'output_seq_len': 771, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.414121', 'http_post_time': '2026-02-27 18:21:25.414219', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:29.328718', 'zmq_push_time': '2026-02-27 18:22:29.328718', 'total_time_s': 63.914597034454346, 'http_queue_latency_s': 9.870529174804688e-05}
2026-02-27 18:22:29,824 - root - INFO - [Worker-0/PID-26250] - [1012259248] {'request_id': 1012259248, 'input_seq_len': 1287, 'output_seq_len': 783, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.403862', 'http_post_time': '2026-02-27 18:21:25.403934', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:29.824424', 'zmq_push_time': '2026-02-27 18:22:29.824424', 'total_time_s': 64.42056274414062, 'http_queue_latency_s': 7.200241088867188e-05}
2026-02-27 18:22:30,541 - root - INFO - [Worker-0/PID-26250] - [1012244400] {'request_id': 1012244400, 'input_seq_len': 2465, 'output_seq_len': 819, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.302549', 'http_post_time': '2026-02-27 18:21:25.302635', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:30.541417', 'zmq_push_time': '2026-02-27 18:22:30.541417', 'total_time_s': 65.2388687133789, 'http_queue_latency_s': 8.654594421386719e-05}
2026-02-27 18:22:31,531 - root - INFO - [Worker-0/PID-26250] - [1012185008] {'request_id': 1012185008, 'input_seq_len': 2406, 'output_seq_len': 931, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.984412', 'http_post_time': '2026-02-27 18:21:24.984483', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:31.531690', 'zmq_push_time': '2026-02-27 18:22:31.531690', 'total_time_s': 66.54727792739868, 'http_queue_latency_s': 7.152557373046875e-05}
