2026-02-27 18:20:59,973 - root - INFO - [Worker-0/PID-27222] - Worker 0 (PID: 27222) logging initialized
2026-02-27 18:20:59,974 - root - INFO - [Worker-0/PID-27222] - Worker 0 starting (PID: 27222)
2026-02-27 18:21:00,732 - root - INFO - [Worker-0/PID-27222] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-02-27 18:21:00,732 - root - INFO - [Worker-0/PID-27222] - Worker 0 initialized successfully
2026-02-27 18:22:22,000 - root - INFO - [Worker-0/PID-27222] - [1012180240] {'request_id': 1012180240, 'input_seq_len': 1499, 'output_seq_len': 722, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.953119', 'http_post_time': '2026-02-27 18:21:24.953211', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:22.000113', 'zmq_push_time': '2026-02-27 18:22:22.000113', 'total_time_s': 57.04699468612671, 'http_queue_latency_s': 9.202957153320312e-05}
2026-02-27 18:22:25,289 - root - INFO - [Worker-0/PID-27222] - [1012211472] {'request_id': 1012211472, 'input_seq_len': 1051, 'output_seq_len': 760, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.128567', 'http_post_time': '2026-02-27 18:21:25.128632', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:25.289140', 'zmq_push_time': '2026-02-27 18:22:25.289140', 'total_time_s': 60.16057252883911, 'http_queue_latency_s': 6.437301635742188e-05}
2026-02-27 18:22:26,452 - root - INFO - [Worker-0/PID-27222] - [1012191504] {'request_id': 1012191504, 'input_seq_len': 1462, 'output_seq_len': 816, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.022977', 'http_post_time': '2026-02-27 18:21:25.023043', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:26.451874', 'zmq_push_time': '2026-02-27 18:22:26.451874', 'total_time_s': 61.42889738082886, 'http_queue_latency_s': 6.556510925292969e-05}
2026-02-27 18:22:26,744 - root - INFO - [Worker-0/PID-27222] - [1012204816] {'request_id': 1012204816, 'input_seq_len': 1048, 'output_seq_len': 804, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.093629', 'http_post_time': '2026-02-27 18:21:25.093886', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:26.744545', 'zmq_push_time': '2026-02-27 18:22:26.744545', 'total_time_s': 61.65091562271118, 'http_queue_latency_s': 0.0002574920654296875}
2026-02-27 18:22:26,780 - root - INFO - [Worker-0/PID-27222] - [1012195600] {'request_id': 1012195600, 'input_seq_len': 2887, 'output_seq_len': 819, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.046530', 'http_post_time': '2026-02-27 18:21:25.046686', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:26.780407', 'zmq_push_time': '2026-02-27 18:22:26.780407', 'total_time_s': 61.73387694358826, 'http_queue_latency_s': 0.00015592575073242188}
2026-02-27 18:22:28,009 - root - INFO - [Worker-0/PID-27222] - [1012235536] {'request_id': 1012235536, 'input_seq_len': 1453, 'output_seq_len': 793, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.253499', 'http_post_time': '2026-02-27 18:21:25.253563', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:28.008848', 'zmq_push_time': '2026-02-27 18:22:28.008848', 'total_time_s': 62.75534963607788, 'http_queue_latency_s': 6.413459777832031e-05}
2026-02-27 18:22:28,309 - root - INFO - [Worker-0/PID-27222] - [1012193040] {'request_id': 1012193040, 'input_seq_len': 2389, 'output_seq_len': 858, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.031165', 'http_post_time': '2026-02-27 18:21:25.031244', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:28.309183', 'zmq_push_time': '2026-02-27 18:22:28.309183', 'total_time_s': 63.2780179977417, 'http_queue_latency_s': 7.891654968261719e-05}
2026-02-27 18:22:29,164 - root - INFO - [Worker-0/PID-27222] - [1012207888] {'request_id': 1012207888, 'input_seq_len': 2381, 'output_seq_len': 855, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.108812', 'http_post_time': '2026-02-27 18:21:25.108892', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:29.164218', 'zmq_push_time': '2026-02-27 18:22:29.164218', 'total_time_s': 64.05540609359741, 'http_queue_latency_s': 8.034706115722656e-05}
2026-02-27 18:22:29,520 - root - INFO - [Worker-0/PID-27222] - [1012167440] {'request_id': 1012167440, 'input_seq_len': 5678, 'output_seq_len': 919, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.867585', 'http_post_time': '2026-02-27 18:21:24.867705', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:29.520199', 'zmq_push_time': '2026-02-27 18:22:29.520199', 'total_time_s': 64.6526141166687, 'http_queue_latency_s': 0.00011992454528808594}
2026-02-27 18:22:30,395 - root - INFO - [Worker-0/PID-27222] - [1012180752] {'request_id': 1012180752, 'input_seq_len': 2864, 'output_seq_len': 921, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.958663', 'http_post_time': '2026-02-27 18:21:24.958820', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:30.395734', 'zmq_push_time': '2026-02-27 18:22:30.395734', 'total_time_s': 65.43707036972046, 'http_queue_latency_s': 0.00015687942504882812}
2026-02-27 18:22:30,934 - root - INFO - [Worker-0/PID-27222] - [1012248336] {'request_id': 1012248336, 'input_seq_len': 3427, 'output_seq_len': 839, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.322234', 'http_post_time': '2026-02-27 18:21:25.322340', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:30.934624', 'zmq_push_time': '2026-02-27 18:22:30.934624', 'total_time_s': 65.6123902797699, 'http_queue_latency_s': 0.00010633468627929688}
