2026-02-27 22:20:23,273 - root - INFO - [Worker-0/PID-25321] - Worker 0 (PID: 25321) logging initialized
2026-02-27 22:20:23,274 - root - INFO - [Worker-0/PID-25321] - Worker 0 starting (PID: 25321)
2026-02-27 22:20:24,061 - root - INFO - [Worker-0/PID-25321] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-02-27 22:20:24,061 - root - INFO - [Worker-0/PID-25321] - Worker 0 initialized successfully
2026-02-27 22:21:44,721 - root - INFO - [Worker-0/PID-25321] - [719567760] {'request_id': 719567760, 'input_seq_len': 778, 'output_seq_len': 1080, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.526676', 'http_post_time': '2026-02-27 22:21:19.526721', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:44.721237', 'zmq_push_time': '2026-02-27 22:21:44.721237', 'total_time_s': 25.194561004638672, 'http_queue_latency_s': 4.553794860839844e-05}
2026-02-27 22:21:46,093 - root - INFO - [Worker-0/PID-25321] - [719503760] {'request_id': 719503760, 'input_seq_len': 399, 'output_seq_len': 1153, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.435209', 'http_post_time': '2026-02-27 22:21:19.435256', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:46.093675', 'zmq_push_time': '2026-02-27 22:21:46.093675', 'total_time_s': 26.65846586227417, 'http_queue_latency_s': 4.673004150390625e-05}
2026-02-27 22:21:46,787 - root - INFO - [Worker-0/PID-25321] - [719582608] {'request_id': 719582608, 'input_seq_len': 549, 'output_seq_len': 1173, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.543228', 'http_post_time': '2026-02-27 22:21:19.543271', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:46.787178', 'zmq_push_time': '2026-02-27 22:21:46.787178', 'total_time_s': 27.24394941329956, 'http_queue_latency_s': 4.220008850097656e-05}
2026-02-27 22:21:46,827 - root - INFO - [Worker-0/PID-25321] - [719532432] {'request_id': 719532432, 'input_seq_len': 183, 'output_seq_len': 1181, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.503664', 'http_post_time': '2026-02-27 22:21:19.506469', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:46.827306', 'zmq_push_time': '2026-02-27 22:21:46.827306', 'total_time_s': 27.323642253875732, 'http_queue_latency_s': 0.002804994583129883}
2026-02-27 22:21:47,580 - root - INFO - [Worker-0/PID-25321] - [719592848] {'request_id': 719592848, 'input_seq_len': 312, 'output_seq_len': 1208, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.583583', 'http_post_time': '2026-02-27 22:21:19.585052', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:47.580050', 'zmq_push_time': '2026-02-27 22:21:47.580050', 'total_time_s': 27.996466875076294, 'http_queue_latency_s': 0.0014688968658447266}
2026-02-27 22:21:47,594 - root - INFO - [Worker-0/PID-25321] - [719523728] {'request_id': 719523728, 'input_seq_len': 341, 'output_seq_len': 1216, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.473630', 'http_post_time': '2026-02-27 22:21:19.502917', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:47.594855', 'zmq_push_time': '2026-02-27 22:21:47.594855', 'total_time_s': 28.121225118637085, 'http_queue_latency_s': 0.029287099838256836}
2026-02-27 22:21:48,832 - root - INFO - [Worker-0/PID-25321] - [719605648] {'request_id': 719605648, 'input_seq_len': 426, 'output_seq_len': 1263, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.592473', 'http_post_time': '2026-02-27 22:21:19.592566', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:48.832246', 'zmq_push_time': '2026-02-27 22:21:48.832246', 'total_time_s': 29.23977303504944, 'http_queue_latency_s': 9.322166442871094e-05}
2026-02-27 22:21:49,001 - root - INFO - [Worker-0/PID-25321] - [719554960] {'request_id': 719554960, 'input_seq_len': 605, 'output_seq_len': 1276, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.510929', 'http_post_time': '2026-02-27 22:21:19.512856', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:49.001684', 'zmq_push_time': '2026-02-27 22:21:49.001684', 'total_time_s': 29.490755796432495, 'http_queue_latency_s': 0.0019278526306152344}
2026-02-27 22:21:50,332 - root - INFO - [Worker-0/PID-25321] - [719617936] {'request_id': 719617936, 'input_seq_len': 168, 'output_seq_len': 1323, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.607002', 'http_post_time': '2026-02-27 22:21:19.607045', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:50.332673', 'zmq_push_time': '2026-02-27 22:21:50.332673', 'total_time_s': 30.72567081451416, 'http_queue_latency_s': 4.291534423828125e-05}
2026-02-27 22:21:50,449 - root - INFO - [Worker-0/PID-25321] - [719547280] {'request_id': 719547280, 'input_seq_len': 374, 'output_seq_len': 1339, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.504673', 'http_post_time': '2026-02-27 22:21:19.508180', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:50.449127', 'zmq_push_time': '2026-02-27 22:21:50.449127', 'total_time_s': 30.944454193115234, 'http_queue_latency_s': 0.0035066604614257812}
