2026-03-03 01:22:08,459 - root - INFO - [Worker-0/PID-25434] - Worker 0 (PID: 25434) logging initialized
2026-03-03 01:22:08,462 - root - INFO - [Worker-0/PID-25434] - Worker 0 starting (PID: 25434)
2026-03-03 01:22:09,194 - root - INFO - [Worker-0/PID-25434] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-03 01:22:09,195 - root - INFO - [Worker-0/PID-25434] - Worker 0 initialized successfully
2026-03-03 01:22:38,761 - root - INFO - [Worker-0/PID-25434] - [521348800] {'request_id': 521348800, 'input_seq_len': 309, 'output_seq_len': 453, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.212368', 'http_post_time': '2026-03-03 01:22:27.212461', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:38.761546', 'zmq_push_time': '2026-03-03 01:22:38.761546', 'total_time_s': 11.549178123474121, 'http_queue_latency_s': 9.322166442871094e-05}
2026-03-03 01:22:40,273 - root - INFO - [Worker-0/PID-25434] - [521308864] {'request_id': 521308864, 'input_seq_len': 224, 'output_seq_len': 530, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.169797', 'http_post_time': '2026-03-03 01:22:27.169838', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:40.273191', 'zmq_push_time': '2026-03-03 01:22:40.273191', 'total_time_s': 13.103393316268921, 'http_queue_latency_s': 4.100799560546875e-05}
2026-03-03 01:22:40,763 - root - INFO - [Worker-0/PID-25434] - [521327808] {'request_id': 521327808, 'input_seq_len': 248, 'output_seq_len': 551, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.189617', 'http_post_time': '2026-03-03 01:22:27.189649', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:40.763752', 'zmq_push_time': '2026-03-03 01:22:40.763752', 'total_time_s': 13.574135303497314, 'http_queue_latency_s': 3.266334533691406e-05}
2026-03-03 01:22:44,454 - root - INFO - [Worker-0/PID-25434] - [521290432] {'request_id': 521290432, 'input_seq_len': 296, 'output_seq_len': 728, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.117189', 'http_post_time': '2026-03-03 01:22:27.117361', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:44.454786', 'zmq_push_time': '2026-03-03 01:22:44.454786', 'total_time_s': 17.337597131729126, 'http_queue_latency_s': 0.00017142295837402344}
2026-03-03 01:22:44,774 - root - INFO - [Worker-0/PID-25434] - [521404096] {'request_id': 521404096, 'input_seq_len': 346, 'output_seq_len': 726, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.279371', 'http_post_time': '2026-03-03 01:22:27.283651', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:44.774177', 'zmq_push_time': '2026-03-03 01:22:44.774177', 'total_time_s': 17.49480652809143, 'http_queue_latency_s': 0.0042803287506103516}
2026-03-03 01:22:44,826 - root - INFO - [Worker-0/PID-25434] - [521392832] {'request_id': 521392832, 'input_seq_len': 336, 'output_seq_len': 729, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.278297', 'http_post_time': '2026-03-03 01:22:27.281916', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:44.826651', 'zmq_push_time': '2026-03-03 01:22:44.826651', 'total_time_s': 17.54835319519043, 'http_queue_latency_s': 0.0036187171936035156}
2026-03-03 01:22:45,008 - root - INFO - [Worker-0/PID-25434] - [521366208] {'request_id': 521366208, 'input_seq_len': 223, 'output_seq_len': 743, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.236636', 'http_post_time': '2026-03-03 01:22:27.236688', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:45.008045', 'zmq_push_time': '2026-03-03 01:22:45.008045', 'total_time_s': 17.771408796310425, 'http_queue_latency_s': 5.14984130859375e-05}
2026-03-03 01:22:45,543 - root - INFO - [Worker-0/PID-25434] - [521335488] {'request_id': 521335488, 'input_seq_len': 266, 'output_seq_len': 771, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.198380', 'http_post_time': '2026-03-03 01:22:27.198408', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:45.543241', 'zmq_push_time': '2026-03-03 01:22:45.543241', 'total_time_s': 18.34486174583435, 'http_queue_latency_s': 2.86102294921875e-05}
2026-03-03 01:22:45,688 - root - INFO - [Worker-0/PID-25434] - [521323200] {'request_id': 521323200, 'input_seq_len': 465, 'output_seq_len': 780, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.184952', 'http_post_time': '2026-03-03 01:22:27.185020', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:45.687955', 'zmq_push_time': '2026-03-03 01:22:45.687955', 'total_time_s': 18.503003358840942, 'http_queue_latency_s': 6.890296936035156e-05}
2026-03-03 01:22:45,998 - root - INFO - [Worker-0/PID-25434] - [521312448] {'request_id': 521312448, 'input_seq_len': 129, 'output_seq_len': 796, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.174449', 'http_post_time': '2026-03-03 01:22:27.174545', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:45.998697', 'zmq_push_time': '2026-03-03 01:22:45.998697', 'total_time_s': 18.82424759864807, 'http_queue_latency_s': 9.584426879882812e-05}
2026-03-03 01:22:46,074 - root - INFO - [Worker-0/PID-25434] - [521415360] {'request_id': 521415360, 'input_seq_len': 309, 'output_seq_len': 784, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.293469', 'http_post_time': '2026-03-03 01:22:27.294205', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:46.073972', 'zmq_push_time': '2026-03-03 01:22:46.073972', 'total_time_s': 18.780503034591675, 'http_queue_latency_s': 0.0007355213165283203}
